"Time","new_async (new_async:8001)"
2026-02-11 15:49:00,420%
2026-02-11 15:50:00,574%
2026-02-11 15:51:00,726%
2026-02-11 15:52:00,560%
2026-02-11 15:53:00,711%
2026-02-11 15:54:00,759%
2026-02-11 15:55:00,756%
2026-02-11 15:56:00,756%
2026-02-11 15:57:00,756%
2026-02-11 15:58:00,755%
2026-02-11 15:59:00,754%
2026-02-11 16:00:00,754%
2026-02-11 16:01:00,755%
2026-02-11 16:02:00,756%
2026-02-11 16:03:00,757%
2026-02-11 16:04:00,757%
2026-02-11 16:05:00,758%
2026-02-11 16:06:00,759%
2026-02-11 16:07:00,761%
2026-02-11 16:08:00,762%
2026-02-11 16:09:00,763%
2026-02-11 16:10:00,764%
2026-02-11 16:11:00,763%
2026-02-11 16:12:00,765%
2026-02-11 16:13:00,766%
2026-02-11 16:14:00,766%
2026-02-11 16:15:00,765%
2026-02-11 16:16:00,765%
2026-02-11 16:17:00,764%
2026-02-11 16:18:00,734%
2026-02-11 16:19:00,688%
2026-02-11 16:20:00,644%
2026-02-11 16:21:00,598%
2026-02-11 16:22:00,546%
2026-02-11 16:23:00,527%
2026-02-11 16:24:00,522%
2026-02-11 16:25:00,506%
2026-02-11 16:26:00,498%
2026-02-11 16:27:00,500%
2026-02-11 16:28:00,496%
2026-02-11 16:29:00,491%
2026-02-11 16:30:00,487%
2026-02-11 16:31:00,479%
2026-02-11 16:32:00,470%
2026-02-11 16:33:00,471%
2026-02-11 16:34:00,464%
2026-02-11 16:35:00,468%
2026-02-11 16:36:00,458%
2026-02-11 16:37:00,448%
2026-02-11 16:38:00,427%
2026-02-11 16:39:00,423%
2026-02-11 16:40:00,410%
2026-02-11 16:41:00,394%
2026-02-11 16:42:00,393%
2026-02-11 16:43:00,394%
2026-02-11 16:44:00,391%
2026-02-11 16:45:00,400%
2026-02-11 16:46:00,409%
2026-02-11 16:47:00,401%
2026-02-11 16:48:00,384%
2026-02-11 16:49:00,371%
2026-02-11 16:50:00,360%
2026-02-11 16:51:00,353%
2026-02-11 16:52:00,354%
2026-02-11 16:53:00,346%
2026-02-11 16:54:00,346%
2026-02-11 16:55:00,352%
2026-02-11 16:56:00,338%
2026-02-11 16:57:00,338%
2026-02-11 16:58:00,345%
2026-02-11 16:59:00,334%
2026-02-11 17:00:00,335%
2026-02-11 17:01:00,338%
2026-02-11 17:02:00,328%
2026-02-11 17:03:00,336%
2026-02-11 17:04:00,325%
2026-02-11 17:05:00,329%
2026-02-11 17:06:00,315%
2026-02-11 17:07:00,314%
2026-02-11 17:08:00,306%
2026-02-11 17:09:00,309%
2026-02-11 17:10:00,298%
2026-02-11 17:11:00,296%
2026-02-11 17:12:00,307%
2026-02-11 17:13:00,305%
2026-02-11 17:14:00,293%
2026-02-11 17:15:00,290%
2026-02-11 17:16:00,291%
2026-02-11 17:17:00,290%
2026-02-11 17:18:00,285%
2026-02-11 17:19:00,282%
2026-02-11 17:20:00,290%
2026-02-11 17:21:00,293%
2026-02-11 17:22:00,342%
2026-02-11 17:23:00,420%
2026-02-11 17:24:00,466%
2026-02-11 17:25:00,474%
2026-02-11 17:26:00,476%
2026-02-11 17:27:00,397%
2026-02-11 17:28:00,317%
2026-02-11 17:29:00,268%
2026-02-11 17:30:00,244%
2026-02-11 17:31:00,221%
2026-02-11 17:32:00,198%
2026-02-11 17:33:00,187%
2026-02-11 17:34:00,171%
2026-02-11 17:35:00,161%
2026-02-11 17:36:00,151%
2026-02-11 17:37:00,147%
2026-02-11 17:38:00,140%
2026-02-11 17:39:00,136%
2026-02-11 17:40:00,130%
2026-02-11 17:41:00,131%
2026-02-11 17:42:00,125%
2026-02-11 17:43:00,120%
2026-02-11 17:44:00,113%
2026-02-11 17:45:00,111%
2026-02-11 17:46:00,109%
2026-02-11 17:47:00,110%
2026-02-11 17:48:00,104%
2026-02-11 17:49:00,105%
2026-02-11 17:50:00,99.6%
2026-02-11 17:51:00,98.7%
2026-02-11 17:52:00,102%
2026-02-11 17:53:00,101%
2026-02-11 17:54:00,99.5%
2026-02-11 17:55:00,96.3%
2026-02-11 17:56:00,92.6%
2026-02-11 17:57:00,86.5%
2026-02-11 17:58:00,84.3%
2026-02-11 17:59:00,85.3%
2026-02-11 18:00:00,81.9%
2026-02-11 18:01:00,79.0%
2026-02-11 18:02:00,78.4%
2026-02-11 18:03:00,78.0%
2026-02-11 18:04:00,75.4%
2026-02-11 18:05:00,77.9%
2026-02-11 18:06:00,74.2%
2026-02-11 18:07:00,74.3%
2026-02-11 18:08:00,72.0%
2026-02-11 18:09:00,70.1%
2026-02-11 18:10:00,68.6%
2026-02-11 18:11:00,68.1%
2026-02-11 18:12:00,68.1%
2026-02-11 18:13:00,68.2%
2026-02-11 18:14:00,68.4%
2026-02-11 18:15:00,65.1%
2026-02-11 18:16:00,65.7%
2026-02-11 18:17:00,66.1%
2026-02-11 18:18:00,65.4%
2026-02-11 18:19:00,62.3%
2026-02-11 18:20:00,65.7%
2026-02-11 18:21:00,62.3%
2026-02-11 18:22:00,62.5%
2026-02-11 18:23:00,62.7%
2026-02-11 18:24:00,62.5%
2026-02-11 18:25:00,59.1%
2026-02-11 18:26:00,61.8%
2026-02-11 18:27:00,57.9%
2026-02-11 18:28:00,62.0%
2026-02-11 18:29:00,58.6%
2026-02-11 18:30:00,58.5%
2026-02-11 18:31:00,58.9%
2026-02-11 18:32:00,59.0%
2026-02-11 18:33:00,54.9%
2026-02-11 18:34:00,59.0%
2026-02-11 18:35:00,58.8%
2026-02-11 18:36:00,55.6%
2026-02-11 18:37:00,55.6%
2026-02-11 18:38:00,55.6%
2026-02-11 18:39:00,54.9%
2026-02-11 18:40:00,54.7%
2026-02-11 18:41:00,54.7%
2026-02-11 18:42:00,54.8%
2026-02-11 18:43:00,54.6%
2026-02-11 18:44:00,55.2%
2026-02-11 18:45:00,55.4%
2026-02-11 18:46:00,51.8%
2026-02-11 18:47:00,47.5%
2026-02-11 18:48:00,37.0%
2026-02-11 18:49:00,26.1%
2026-02-11 18:50:00,15.4%
2026-02-11 18:51:00,17.0%
2026-02-11 18:52:00,19.9%
2026-02-11 18:53:00,18.8%
2026-02-11 18:54:00,18.8%
2026-02-11 18:55:00,18.8%
2026-02-11 18:56:00,17.8%
2026-02-11 18:59:00,50.8%
2026-02-11 19:00:00,44.0%
2026-02-11 19:01:00,44.6%
2026-02-11 19:02:00,0.292%
2026-02-11 19:03:00,0.375%
2026-02-11 19:04:00,0.418%
2026-02-11 19:05:00,0.400%
2026-02-11 19:06:00,0.393%
2026-02-11 19:07:00,0.396%
2026-02-11 19:08:00,0.393%
2026-02-11 19:09:00,0.382%

