"Time","new_async - comparison"
2026-02-11 18:56:30,NaN
2026-02-11 18:59:00,5 s
2026-02-11 18:59:30,5 s
2026-02-11 19:00:00,5 s
2026-02-11 19:00:30,5 s
2026-02-11 19:01:00,5 s
2026-02-11 19:01:30,NaN
2026-02-11 19:02:00,NaN
2026-02-11 19:02:30,NaN
2026-02-11 19:03:00,NaN
2026-02-11 19:03:30,NaN
2026-02-11 19:04:00,NaN
2026-02-11 19:04:30,NaN
2026-02-11 19:05:00,NaN
2026-02-11 19:05:30,NaN
2026-02-11 19:06:00,NaN
2026-02-11 19:06:30,NaN
2026-02-11 19:07:00,NaN
2026-02-11 19:07:30,NaN
2026-02-11 19:08:00,NaN
2026-02-11 19:08:30,NaN
2026-02-11 19:09:00,NaN
2026-02-11 19:09:30,NaN
2026-02-11 19:10:00,NaN
2026-02-11 19:10:30,NaN
2026-02-11 19:11:00,NaN
2026-02-11 19:11:30,NaN
2026-02-11 19:12:00,NaN
2026-02-11 19:12:30,NaN
2026-02-11 19:13:00,NaN
2026-02-11 19:13:30,NaN
2026-02-11 19:14:00,NaN
2026-02-11 19:14:30,NaN
2026-02-11 19:15:00,NaN
2026-02-11 19:15:30,NaN
2026-02-11 19:16:00,NaN
2026-02-11 19:16:30,NaN
2026-02-11 19:17:00,NaN
2026-02-11 19:17:30,NaN

